	logFC	logCPM	PValue
C06A8.3	-0.65	4.13	0.765
C06B3.6	-1.85	3.02	0.408
C06B8.7	-1.47	1.43	0.498
C06E1.1	-0.841	3.78	0.641
C06E1.9	1.73	6.36	0.119
C06E2.5	-1.94	5.17	0.286
C06E7.2	-3.8	2.37	0.0821
C06E7.4	0.665	5.81	0.728
C06G3.5	-1.24	5.6	0.429
C06G3.6	-0.903	6.55	0.372
C06G3.8	-1.1	6.21	0.361
C06G3.9	1.36	4.79	0.455
C06G4.1	0.447	8.27	0.349
C06H2.2	1.88	6.47	0.0879
C06H2.3	-0.598	6.7	0.583
C06H2.6	-0.185	7.1	0.816
C06H2.7	-0.203	8.19	0.676
C06H5.8	-2.01	1.13	0.405
C07A12.7	0.0521	4.61	0.983
C07A9.2	-1.05	6.91	0.231
C07A9.9	-0.00722	5.12	1
C07D10.5	-0.599	5.56	0.742
C07D8.6	0.424	8.58	0.326
C07E3.10	-1.92	1.08	0.433
C07E3.6	0.777	6.73	0.403
C07E3.9	-0.597	2.09	0.814
C07F11.2	4.43	2.05	0.0578
C07H6.10	2.27	2.41	0.26
C07H6.15	-1.2	3.1	0.517
C07H6.2	-1.53	6.13	0.21
C07H6.4	-0.0207	7.29	0.983
C07H6.9	-5.54	3.87	0.0126
C08A9.6	1.72	5.36	0.31
C08B11.3	-0.28	8.33	0.693
C08B11.6	-0.261	8.03	0.597
C08B11.8	-0.41	7.39	0.605
C08B11.9	-0.793	5.43	0.609
C08B6.15	-1.83	1.04	0.451
C08B6.7	0.0072	7.97	0.99
C08B6.8	-0.584	7.81	0.298
C08C3.4	1.37	7.52	0.0281
C08F8.2	0.102	7.74	0.866
C08F8.3	1.34	7.36	0.0468
C08F8.9	-0.445	4	0.819
C08G9.1	-2.88	1.68	0.222
C08H9.16	-0.0257	6.94	0.978
C08H9.2	1.83	9.16	0.000144
C08H9.3	-3.82	5.01	0.0476
C09B7.2	-2.41	4.87	0.156
C09B8.4	-2.99	4.89	0.124
C09B8.5	-0.0401	7.08	0.964
C09D4.2	2.65	3.07	0.222
C09D4.4	-0.0834	8	0.893
C09E7.4	0.433	6.28	0.701
C09E7.6	-3.26	1.95	0.167
C09E7.7	-3.11	5.41	0.0682
C09E7.8	-0.772	4.75	0.693
C09E8.1	-2.88	3.75	0.16
C09E9.1	-0.222	5.63	0.88
C09F5.1	-1.7	5.83	0.309
C09G1.4	-4.3	3.34	0.0813
C09G1.5	-0.231	1.23	1
C09G4.2	-2.13	4.94	0.291
C09G4.4	-0.516	6.72	0.58
C09G9.1	0.483	7.28	0.493
C09G9.2	0.198	8.06	0.686
C09H10.10	2.17	5.45	0.162
C09H10.5	-3.23	1.93	0.178
C10A4.1	-4.99	3.38	0.0476
