	logFC	logCPM	PValue
C47B2.9	0	2.69	1
C47D12.2	0	8.92	1
C47D12.8	0	8.15	1
C47E12.2	0	8.41	1
C47E12.3	0	7.15	1
C47E12.7	0	6.36	1
C47E8.4	0	7.39	1
C47F8.1	0	5.79	1
C47G2.3	0	5.98	1
C47G2.4	0	8.22	1
C48A7.2	0	8.91	1
C48B4.10	0	3.81	1
C48B4.11	0	7.96	1
C48B4.6	0	4.57	1
C48B4.7	0	5.93	1
C48B4.8	0	5.27	1
C48B4.9	0	6.08	1
C48B6.10	0	5.2	1
C48B6.2	0	4.48	1
C48B6.3	0	6.67	1
C48B6.9	0	4.84	1
C48E7.11	0	6.11	1
C48E7.2	0	7.62	1
C49A9.10	0	4.87	1
C49C3.6	0	6.98	1
C49C3.7	0	6.9	1
C49C3.8	0	7.85	1
C49C8.3	0	3.24	1
C49F5.3	0	6.02	1
C49F5.6	0	8.16	1
C49H3.3	0	7.03	1
C49H3.4	0	5.27	1
C49H3.6	0	3.12	1
C49H3.9	0	7.68	1
C50A2.2	0	4.43	1
C50B6.3	0	8.41	1
C50B8.1	0	6.92	1
C50B8.3	0	6.1	1
C50C3.1	0	7.82	1
C50D2.5	0	6.24	1
C50D2.7	0	6.18	1
C50D2.9	0	6.04	1
C50E3.11	0	3.81	1
C50E3.12	0	7.46	1
C50E3.13	0	7.71	1
C50E3.5	0	7.58	1
C50F2.2	0	7.62	1
C50F2.3	0	7.37	1
C50F4.12	0	4.97	1
C50F4.14	0	7.47	1
C50F4.16	0	7.81	1
C50F4.6	0	6.05	1
C50F7.4	0	7.51	1
C50F7.6	0	3.9	1
C52A10.3	0	6.08	1
C52B9.4	0	6.98	1
C52B9.8	0	7.16	1
C52D10.12	0	5.48	1
C52E12.1	0	8.39	1
C52E12.4	0	6.98	1
C52E4.5	0	4.93	1
C53A5.16	0	5.04	1
C53A5.17	0	5.94	1
C53A5.2	0	3.37	1
C53A5.5	0	4.21	1
C53A5.6	0	4.58	1
C53B4.4	0	8.61	1
C53B4.6	0	3.82	1
C53D5.1	0	6.67	1
C53D5.2	0	2.72	1
C53D5.5	0	2.92	1
C53D6.4	0	7.35	1
C53D6.6	0	6.26	1
C53H9.2	0	3.61	1
C54C6.6	0	6.39	1
C54G4.7	0	6.98	1
C54G4.9	0	6.06	1
C54G6.1	0	6.51	1
C55A6.1	0	8.09	1
C55A6.10	0	6.31	1
C55A6.9	0	9.12	1
C55B6.1	0	7.8	1
C55B7.11	0	8.23	1
C55C3.5	0	8.64	1
C56A3.4	0	9	1
C56A3.5	0	7.42	1
C56A3.6	0	5.46	1
C56A3.8	0	4.78	1
C56C10.11	0	7.52	1
C56C10.7	0	7.33	1
C56C10.9	0	6.71	1
C56E6.2	0	6.83	1
C56E6.9	0	4.14	1
C56G2.1	0	7.74	1
C56G2.15	0	7.36	1
