	logFC	logCPM	PValue
C46F11.4	0	7.35	1
C46F11.5	0	7.36	1
C46F11.6	0	3.43	1
C46H11.2	0	3.47	1
C46H3.2	0	5.31	1
C47A4.1	0	4.39	1
C47B2.2	0	7.58	1
C47D12.2	0	9.17	1
C47D12.8	0	6.86	1
C47E12.2	0	8.53	1
C47E12.3	0	8.29	1
C47E12.7	0	6.5	1
C47E8.4	0	7.39	1
C47F8.1	0	6.02	1
C47G2.3	0	6.34	1
C47G2.4	0	8.27	1
C48A7.2	0	9.17	1
C48B4.10	0	4.28	1
C48B4.11	0	8.35	1
C48B4.6	0	4.38	1
C48B4.7	0	5.87	1
C48B4.8	0	5.08	1
C48B4.9	0	6.73	1
C48B6.10	0	5.22	1
C48B6.2	0	5.86	1
C48B6.3	0	5.3	1
C48B6.9	0	5.76	1
C48D1.5	0	2.94	1
C48E7.11	0	6.51	1
C48E7.2	0	7.89	1
C49A9.10	0	4.36	1
C49C3.15	0	3.62	1
C49C3.5	0	4.31	1
C49C3.6	0	7.42	1
C49C3.7	0	6.6	1
C49C3.8	0	7.65	1
C49F5.3	0	5.86	1
C49F5.6	0	7.58	1
C49H3.3	0	7.05	1
C49H3.4	0	6.05	1
C49H3.6	0	3.75	1
C49H3.9	0	7.26	1
C50A2.2	0	4.08	1
C50B6.3	0	8.06	1
C50B8.1	0	7.23	1
C50B8.3	0	6.69	1
C50C3.1	0	8.47	1
C50D2.5	0	6.57	1
C50D2.7	0	5.97	1
C50D2.9	0	5.59	1
C50E3.11	0	3.05	1
C50E3.12	0	6.38	1
C50E3.13	0	7.24	1
C50E3.5	0	7.09	1
C50F2.2	0	6.38	1
C50F2.3	0	6.73	1
C50F4.12	0	7.92	1
C50F4.14	0	7.98	1
C50F4.16	0	8.08	1
C50F4.4	0	4.64	1
C50F4.6	0	5.47	1
C50F7.4	0	6.75	1
C50F7.6	0	2.9	1
C52A10.3	0	3.21	1
C52B9.4	0	7.3	1
C52B9.8	0	3.9	1
C52D10.12	0	6.55	1
C52E12.1	0	8.19	1
C52E12.4	0	7.53	1
C53A5.16	0	3.92	1
C53A5.17	0	7.39	1
C53A5.6	0	5.92	1
C53B4.4	0	8.06	1
C53B4.6	0	4.9	1
C53D5.1	0	7.16	1
C53D6.4	0	6.7	1
C53D6.6	0	7.32	1
C53H9.2	0	3.79	1
C53H9.3	0	3.03	1
C54C6.6	0	6.11	1
C54G4.7	0	7.08	1
C54G4.9	0	6.86	1
C54G6.1	0	6.34	1
C55A6.1	0	8.27	1
C55A6.10	0	6.14	1
C55A6.9	0	9.3	1
C55B6.1	0	7.25	1
C55B7.11	0	8.27	1
C55C3.5	0	7.45	1
C56A3.4	0	8.86	1
C56A3.5	0	7.56	1
C56A3.6	0	5.56	1
C56A3.8	0	5.85	1
C56C10.10	0	3.26	1
C56C10.11	0	7.06	1
C56C10.7	0	7.45	1
C56C10.9	0	5.67	1
C56E6.2	0	5.45	1
C56E6.9	0	6.26	1
C56G2.1	0	8.08	1
C56G2.15	0	6.62	1
C56G2.5	0	7.52	1
C56G2.7	0	8.43	1
C56G7.3	0	4.58	1
cacn-1	0	6.94	1
cal-5	0	5.46	1
calu-1	0	7.7	1
cam-1	0	8.52	1
cand-1	0	6.56	1
cap-1	0	7.94	1
cap-2	0	8.25	1
capg-1	0	7.7	1
capg-2	0	8.99	1
car-1	0	9.88	1
cars-1	0	8.65	1
cas-1	0	7	1
cas-2	0	7.71	1
cash-1	0	7.53	1
