	logFC	logCPM	PValue
C15C6.4	-0.468	5.7	0.77
C15C7.5	0.605	5.53	0.722
C15C7.7	-1.94	4.92	0.354
C15C8.4	0.983	7.63	0.202
C15C8.7	0.258	5.82	0.87
C15F1.2	2.08	2.81	0.399
C15F1.5	1.92	3.96	0.411
C15H11.8	0.608	6.77	0.611
C15H9.4	-0.39	2.51	0.901
C15H9.5	-2.44	5.57	0.205
C16A11.10	0.243	5.69	0.881
C16A11.2	-0.409	7.32	0.624
C16A11.4	-0.309	7.02	0.772
C16A3.1	1.06	6.5	0.406
C16A3.10	0.388	6.83	0.745
C16A3.2	0.62	6.15	0.655
C16A3.4	-0.082	7.41	0.919
C16A3.5	0.897	6.43	0.465
C16A3.6	0.775	4.57	0.737
C16B8.2	-2.67	1.58	0.282
C16C10.1	1.57	6.82	0.172
C16C10.13	-3.63	2.23	0.15
C16C10.2	0.933	6.99	0.374
C16C10.3	-0.00991	9.38	0.985
C16C10.4	0.46	7.36	0.594
C16C10.8	1.61	4.74	0.432
C16C2.4	0.409	8.34	0.5
C16C8.11	0.665	6.22	0.637
C16C8.12	-1.52	4.54	0.473
C16C8.14	-0.962	4.55	0.616
C16C8.16	-0.237	5.68	0.891
C16C8.20	0.973	2.24	0.696
C16C8.4	-0.357	5.65	0.82
C16C8.5	0.859	3.97	0.66
C16D9.6	1.49	4.78	0.481
C16E9.2	0.505	7.4	0.534
C16H3.3	-2.58	4.23	0.284
C17C3.1	2.79	6.21	0.115
C17D12.1	-1.09	5.84	0.488
C17D12.7	0.639	3.53	0.774
C17E4.10	0.264	8.16	0.646
C17E4.11	0.457	5.14	0.793
C17E4.2	-5.39	3.73	0.0459
C17E4.3	0.455	8.69	0.357
C17E4.4	0.464	6.13	0.741
C17E4.6	0.0501	7.82	0.943
C17E7.12	-0.364	4.89	0.851
C17E7.4	-0.37	7.59	0.64
C17E7.9	-0.786	6.12	0.581
C17F4.2	3.89	2.29	0.138
C17F4.8	0.726	3.94	0.711
C17G10.1	-0.568	8.01	0.343
C17G10.2	-0.549	7.94	0.387
C17G10.9	-0.611	8.35	0.265
C17H11.2	0.318	7.74	0.663
C17H11.6	1.06	5.96	0.474
C17H12.13	0.563	8	0.356
C17H12.2	1.39	5.32	0.434
C18A3.1	-2.33	6.26	0.152
C18A3.2	0.123	5.61	0.943
C18A3.3	-0.253	7.14	0.78
C18A3.4	3.33	3.79	0.19
C18A3.9	1.22	1.59	0.621
C18B12.4	0.16	7.16	0.885
C18B12.6	-1.35	7.37	0.103
C18B2.4	0.801	5.07	0.656
C18C4.5	-5.37	4.99	0.0166
C18D11.3	0.946	6.54	0.442
C18E3.2	-0.432	7.47	0.576
C18E3.3	0.02	7.41	0.982
C18E3.5	0.468	6.85	0.672
C18E3.9	-0.327	8.13	0.574
